total_expense;age;sex;pdv;client;campaing;purchase_date
464;31;0;0;22719;8;2021-08-18
410;33;0;1;3913;1;2021-12-18
402;35;0;1;31527;3;2018-12-29
832;26;0;5;89405;1;2019-01-21
220;46;0;4;57011;6;2022-06-18
935;39;0;4;36226;3;2021-06-17
802;24;1;1;48436;5;2019-01-17
638;24;0;1;75236;8;2020-05-14
537;2;1;1;9575;2;2022-04-06
412;35;0;5;41876;1;2018-09-21
993;50;0;0;49485;8;2018-07-07
483;45;1;5;5043;6;2020-07-26
412;47;1;2;1526;10;2019-07-08
1000;40;0;5;26322;6;2021-07-20
913;18;0;1;81492;3;2019-09-06
997;42;1;5;76898;5;2022-10-22
877;46;0;3;18834;1;2018-02-06
189;30;1;3;96583;3;2018-10-01
231;25;0;3;17299;4;2018-04-28
127;23;0;0;48109;1;2023-01-05
662;29;0;5;23774;4;2019-05-30
244;1;1;5;97776;7;2018-03-24
960;48;1;2;7607;5;2018-05-21
908;18;1;2;10308;9;2019-07-01
444;33;1;0;45275;8;2020-06-28
963;2;1;0;88646;4;2018-10-11
372;31;0;3;4138;4;2021-05-15
645;14;1;1;38173;9;2018-08-14
655;6;1;4;16842;10;2018-03-01
957;19;0;0;37293;2;2018-10-20
371;23;1;1;19490;1;2020-02-26
244;46;1;2;16401;6;2021-07-11
619;48;0;1;15873;6;2021-10-05
925;38;1;2;49351;7;2022-05-25
831;42;1;1;65693;3;2020-04-05
569;49;1;2;97583;1;2018-08-11
360;43;1;5;88093;6;2021-07-15
57;42;1;0;77532;7;2022-06-15
167;8;0;1;44938;5;2021-08-04
830;29;1;1;27143;2;2022-11-07
616;43;0;5;71514;3;2018-05-21
571;14;1;0;69343;5;2018-04-14
396;47;1;4;27197;5;2019-04-10
460;8;0;1;10713;4;2021-05-30
703;16;0;3;69819;4;2018-12-15
207;45;1;4;14600;1;2021-01-20
616;1;1;5;4882;4;2018-05-06
480;0;0;0;37063;1;2021-07-10
712;16;1;3;30750;9;2019-04-23
761;38;1;4;44610;10;2020-04-06
307;37;1;1;59307;7;2022-10-12
809;45;1;5;59078;3;2019-12-19
260;7;0;4;32618;7;2019-04-30
889;44;0;4;60273;5;2020-11-14
211;37;0;4;90338;7;2020-05-22
518;26;1;3;10489;10;2020-02-28
324;18;1;4;2638;1;2018-02-26
857;16;1;0;18135;7;2020-02-13
617;42;1;1;86598;3;2018-08-12
329;44;0;0;30391;5;2018-05-08
98;42;0;5;26600;10;2018-12-05
594;43;0;3;50448;4;2021-01-23
624;33;1;4;34130;3;2022-03-12
839;7;0;0;17652;6;2021-01-28
856;27;0;1;98248;2;2021-05-31
326;50;0;0;4838;1;2019-01-31
766;6;1;5;65590;10;2022-01-29
415;44;0;0;87915;9;2023-01-04
973;42;1;0;33040;3;2019-12-30
774;24;0;3;99681;6;2020-03-02
292;49;1;1;72979;8;2022-02-09
866;32;0;4;30715;10;2018-10-06
265;15;1;3;44156;6;2020-02-08
520;2;0;0;32222;3;2019-12-12
601;43;1;1;98822;6;2020-11-09
151;50;0;5;56581;5;2018-07-28
487;36;1;2;75700;3;2020-02-22
113;12;0;0;4849;9;2021-07-31
935;48;1;0;97649;7;2018-12-31
993;6;1;5;90052;1;2021-10-01
923;13;1;0;67546;9;2022-09-19
241;28;1;0;80381;4;2022-10-02
469;33;1;5;75861;5;2018-10-11
380;4;1;0;23042;1;2022-06-22
167;7;1;3;98418;8;2020-03-08
846;1;1;5;98970;7;2019-05-01
172;27;1;2;81175;3;2019-05-20
622;0;1;5;94025;2;2020-02-12
360;48;1;4;73413;3;2019-04-12
364;43;0;5;2368;4;2020-11-15
173;11;1;0;59261;7;2019-10-09
806;35;1;3;25177;5;2019-12-10
303;45;0;5;36064;7;2021-03-18
691;2;0;4;56122;4;2022-03-09
725;3;1;2;74713;2;2020-04-08
341;34;1;3;76429;8;2020-05-26
581;17;0;1;22802;6;2022-07-24
976;28;1;0;79971;5;2020-07-27
941;25;1;1;23433;3;2018-03-11
988;7;1;0;87813;6;2022-01-25
668;22;0;2;23428;9;2019-05-12
373;15;1;2;48924;10;2020-05-13
843;19;0;4;42397;9;2022-10-21
835;11;1;3;76982;1;2020-11-11
354;21;0;4;77475;6;2021-05-29
461;42;0;5;90592;1;2020-05-30
155;31;1;0;1718;4;2020-04-21
991;28;1;0;87311;7;2022-12-13
315;22;1;3;23887;5;2022-02-09
744;46;0;1;87079;3;2022-10-28
186;18;0;5;38599;2;2022-01-16
761;16;0;2;23262;3;2019-12-22
524;16;0;1;63725;4;2021-12-06
155;33;0;3;60719;8;2018-11-19
277;40;1;5;8329;7;2018-07-28
518;26;0;0;80471;2;2023-01-12
670;38;1;5;2841;3;2023-01-01
239;10;1;5;2555;9;2020-11-30
879;49;1;1;27197;6;2020-05-15
887;43;0;4;42393;7;2018-12-06
418;45;1;1;4825;8;2019-05-11
661;14;1;0;24954;5;2023-01-09
184;45;0;0;68461;1;2021-05-09
206;11;0;2;7735;8;2019-08-12
687;43;0;0;93749;9;2018-02-21
57;45;1;3;93208;3;2021-12-02
867;40;0;4;82050;2;2018-09-13
149;50;0;0;77570;10;2019-12-17
775;49;0;5;85677;5;2021-02-09
942;25;0;0;56220;1;2018-09-09
532;11;1;4;66115;9;2021-12-25
767;47;0;2;36011;3;2022-11-16
52;48;0;2;65292;8;2020-06-08
257;47;1;3;46736;4;2022-05-08
72;25;0;4;49162;5;2019-06-17
961;39;1;0;90106;3;2019-12-21
373;34;1;5;21983;2;2021-02-27
332;28;1;0;19321;7;2018-10-10
598;37;1;2;54904;3;2021-11-13
967;43;0;2;65119;9;2021-10-28
902;8;0;4;76501;10;2021-11-30
287;29;1;2;17983;7;2021-06-22
338;23;0;1;80585;9;2020-11-19
99;12;1;3;84541;8;2022-10-09
427;43;0;4;69170;6;2021-11-16
643;27;0;3;7872;3;2020-08-11
880;29;0;5;52084;3;2020-11-13
398;34;1;2;71695;8;2022-10-14
287;46;1;1;19115;4;2019-03-23
617;46;1;1;53302;8;2018-09-25
966;27;1;2;15888;9;2021-02-28
346;22;0;3;89035;4;2021-07-03
638;2;0;3;48428;6;2019-07-08
96;14;0;2;58951;9;2019-02-28
147;7;0;1;70646;3;2021-10-26
113;4;0;4;81981;10;2019-10-10
899;14;1;5;56401;6;2019-03-28
231;16;0;0;56291;1;2020-01-26
256;0;0;2;18228;8;2020-09-10
359;22;0;2;36419;2;2018-03-04
426;27;1;5;18734;1;2018-06-22
676;43;1;1;83139;7;2018-08-31
538;15;0;2;99120;8;2021-11-22
770;43;0;0;50768;6;2019-10-04
978;18;1;5;96998;4;2021-01-26
762;49;0;5;61717;6;2021-07-06
425;5;0;5;60621;2;2018-10-01
514;35;1;3;57256;3;2018-08-08
751;15;1;1;3758;10;2018-02-27
811;44;0;0;15226;1;2022-12-05
852;1;0;2;11776;6;2020-02-25
770;34;0;2;83939;5;2019-07-18
870;13;0;5;84080;3;2020-10-26
445;47;1;0;25286;3;2021-09-25
757;20;0;4;19158;3;2019-05-22
802;13;1;3;22641;7;2021-12-01
298;48;1;4;63893;6;2018-12-01
79;13;0;5;54472;6;2021-06-11
630;26;0;3;85535;9;2018-12-28
226;9;0;4;43750;5;2019-08-08
328;15;1;4;93766;3;2018-09-24
89;40;1;4;43654;5;2018-04-08
385;45;1;1;19850;4;2020-07-05
200;37;1;1;52390;10;2018-09-10
93;46;1;1;85272;5;2020-04-14
320;4;1;2;13934;10;2019-07-27
541;32;0;5;36640;7;2019-04-16
700;46;0;5;98022;10;2021-07-26
841;48;0;0;43970;3;2019-12-27
353;2;1;0;98432;7;2019-04-27
398;15;0;1;87751;10;2020-12-29
213;12;1;0;49626;4;2021-03-02
441;3;0;5;8526;9;2019-11-02
392;40;0;0;71534;2;2021-09-05
690;39;1;1;26895;6;2021-10-03
488;20;0;4;60807;6;2021-10-07
470;41;1;2;80343;7;2019-12-04
499;44;0;4;25531;3;2019-03-24
728;47;1;4;58783;3;2021-09-30
601;30;1;4;69326;7;2018-04-06
782;16;1;4;93679;8;2019-07-22
187;4;0;0;89057;3;2021-03-14
443;8;0;4;24138;9;2021-03-17
272;32;0;0;13410;10;2022-03-17
479;47;1;0;11470;3;2018-10-09
173;36;0;3;7383;9;2018-02-26
755;16;0;3;73096;2;2022-09-04
849;2;0;0;11030;8;2022-05-28
879;31;1;5;45271;7;2018-10-04
928;29;1;5;62899;8;2019-01-31
185;1;0;2;43699;4;2021-10-14
539;34;0;4;76258;3;2022-07-18
785;35;0;4;72068;2;2020-09-30
406;17;1;2;86437;1;2020-01-28
945;23;1;4;32182;2;2020-11-13
682;21;1;2;11468;4;2019-05-05
165;32;0;3;44789;8;2020-09-17
755;27;1;4;25855;8;2019-12-01
863;25;0;4;76415;1;2019-03-30
159;1;1;5;15631;6;2022-10-18
616;49;0;5;87918;1;2020-01-04
702;8;0;4;89543;1;2018-02-19
361;36;0;4;44807;2;2022-08-31
926;25;1;5;36695;2;2018-07-05
300;27;1;1;17373;1;2019-04-02
230;10;0;2;28872;10;2018-08-20
54;46;1;2;93815;3;2018-07-20
924;14;0;2;3344;3;2022-11-05
739;4;0;1;746;1;2019-03-28
761;8;0;4;76480;10;2020-02-28
410;31;1;0;39635;4;2019-07-30
878;24;0;4;63030;3;2021-02-04
519;33;0;0;73826;7;2018-09-03
934;21;1;0;52467;7;2019-07-26
481;49;1;0;25599;5;2019-10-28
192;6;1;3;97857;9;2020-01-06
320;10;1;0;63390;6;2022-01-24
1000;19;0;5;41391;10;2022-05-31
678;37;1;4;46515;9;2021-01-10
805;34;1;2;20265;7;2022-06-03
272;16;0;4;26002;6;2020-01-21
768;26;0;5;34810;3;2018-12-23
210;34;1;5;95398;4;2022-02-28
701;44;0;0;69765;3;2021-10-08
153;30;0;5;92482;3;2019-12-10
768;12;0;5;67377;9;2021-08-05
790;5;1;5;17983;2;2021-09-26
446;2;0;3;92047;6;2019-11-05
616;20;0;5;68981;7;2019-05-24
353;41;1;5;90764;5;2018-12-29
109;28;0;4;96092;6;2020-10-04
511;8;0;1;77570;1;2021-07-23
75;10;1;2;95405;3;2021-05-16
877;36;1;5;49446;4;2021-07-23
68;24;1;4;92010;2;2021-01-20
198;7;0;1;38473;1;2019-03-26
811;49;0;4;54884;4;2018-02-05
937;39;0;5;77167;5;2022-01-21
627;27;0;5;12329;3;2021-04-03
451;17;1;0;86690;10;2018-10-08
347;39;1;0;93171;10;2021-10-05
259;10;1;4;2250;7;2022-03-01
650;43;0;5;45970;4;2020-02-21
762;9;0;5;40962;8;2022-05-30
228;19;0;1;35724;8;2020-02-20
656;33;1;5;62305;4;2022-02-16
920;47;1;3;63630;2;2019-11-30
92;19;1;3;13332;4;2018-03-22
500;0;1;3;63889;2;2022-11-27
706;45;0;2;83452;10;2022-02-15
217;13;1;4;50885;3;2019-07-21
338;29;1;5;24511;1;2019-05-26
229;41;1;2;50600;8;2018-09-08
707;39;1;2;71560;9;2021-10-06
641;14;1;0;79854;8;2020-03-27
398;20;0;0;48962;3;2019-01-18
422;15;0;1;68709;10;2020-01-22
547;11;1;0;34720;10;2019-07-08
290;7;1;5;1588;9;2020-01-05
571;49;0;1;89702;6;2019-11-10
202;43;1;1;11838;9;2020-07-06
551;7;0;0;44340;4;2023-01-11
811;26;1;1;7969;6;2018-02-18
708;13;1;5;92886;6;2019-05-09
448;22;1;3;15031;8;2020-04-09
447;4;1;5;34403;5;2019-09-14
228;10;0;1;58730;5;2022-10-21
60;23;0;5;1475;5;2020-02-19
731;2;0;3;61809;6;2019-04-14
241;17;1;3;8471;4;2020-02-06
734;31;1;5;28415;4;2022-03-06
388;25;1;2;61950;5;2020-11-13
56;41;1;4;43333;6;2019-11-16
688;10;0;5;54063;8;2021-06-12
932;20;0;5;52858;2;2020-09-10
925;27;1;3;9484;4;2021-12-09
991;10;1;5;97268;2;2022-01-13
218;45;0;2;46740;3;2018-11-15
51;16;1;3;10204;9;2021-08-04
592;20;0;3;10396;6;2020-11-22
697;9;1;5;39196;10;2019-05-02
130;48;1;0;93505;8;2019-05-10
489;45;1;2;3306;2;2020-11-09
139;12;1;2;64550;7;2022-10-12
930;19;1;0;97924;1;2022-08-19
775;7;0;4;56044;1;2018-10-10
723;20;0;4;31072;4;2022-03-11
147;24;0;0;94925;7;2022-03-20
281;21;1;4;77313;1;2018-02-04
717;3;1;3;14746;10;2020-07-19
799;3;1;0;79835;7;2022-06-11
440;31;0;1;23457;7;2019-12-10
91;38;0;2;59407;8;2019-02-03
577;43;0;3;40;5;2018-05-25
299;38;1;5;55679;2;2020-12-08
249;41;1;3;8330;2;2019-04-19
748;41;1;4;55805;1;2018-05-25
52;5;1;0;82803;7;2019-07-17
219;24;0;0;80498;10;2020-09-02
632;2;1;0;96151;7;2020-02-03
910;8;0;0;51077;2;2018-10-28
909;0;0;5;17839;2;2021-05-01
314;27;1;2;67127;5;2020-05-20
823;35;0;4;115;10;2018-12-27
175;15;1;3;96139;3;2022-01-08
350;18;1;4;54084;2;2019-01-08
154;44;1;4;41110;1;2020-07-27
451;4;1;4;92256;8;2018-05-27
936;4;1;4;77265;3;2023-01-25
112;48;0;1;55782;5;2020-04-20
800;1;1;1;75519;5;2021-04-09
452;31;0;0;59158;7;2022-07-06
186;25;1;0;42389;7;2022-03-30
929;50;0;2;17005;5;2019-05-16
436;43;0;0;53649;5;2020-02-13
143;0;1;1;31626;5;2018-03-30
706;45;1;3;91378;1;2018-02-24
400;14;1;1;29026;3;2021-01-25
951;46;1;4;58327;4;2020-08-28
145;27;0;1;90673;5;2019-05-18
417;37;1;1;43154;9;2020-08-28
98;43;1;5;30496;3;2018-05-10
848;45;0;5;4740;9;2021-07-07
398;25;1;5;76380;4;2019-05-31
172;31;0;4;22474;10;2022-02-12
825;46;1;5;15851;8;2020-04-08
663;49;1;1;53238;5;2020-04-30
184;49;1;3;12814;5;2019-12-04
486;40;1;4;29678;3;2019-11-26
767;46;1;1;92036;6;2019-09-13
315;8;0;3;46743;7;2018-08-06
324;37;0;0;7003;5;2021-05-05
619;45;1;2;13045;6;2022-10-30
409;23;1;0;72321;5;2020-09-19
941;13;1;3;94160;10;2021-01-13
892;35;1;5;9820;1;2022-08-03
523;23;1;4;97016;3;2019-09-28
396;10;1;3;70088;7;2018-12-25
67;26;0;4;63962;4;2018-04-20
909;27;0;0;17389;5;2022-11-06
459;49;1;4;71756;3;2022-03-31
745;27;1;0;64595;3;2022-07-22
242;44;1;0;28593;1;2020-06-27
786;40;1;1;47029;1;2020-04-16
308;43;0;4;64240;6;2020-05-03
103;8;0;0;3065;10;2022-01-31
985;21;0;0;74363;10;2020-12-16
282;7;0;0;80162;4;2022-07-11
563;29;1;3;4601;1;2020-12-12
417;31;1;5;2748;8;2019-07-17
429;13;1;5;83271;2;2018-05-04
275;18;1;4;51582;10;2018-04-28
764;42;0;3;58853;2;2019-03-10
491;4;0;5;63721;10;2020-01-30
373;10;0;0;54976;7;2018-04-02
497;42;1;1;68014;7;2019-08-06
637;32;1;4;96785;1;2021-02-06
137;22;1;5;76937;9;2018-08-25
653;11;1;4;70339;6;2021-07-13
354;41;1;1;68426;6;2019-10-11
975;11;0;1;32620;1;2019-02-11
875;29;1;5;27661;4;2021-06-03
295;37;1;4;49640;6;2020-02-17
630;44;0;3;15420;6;2018-12-03
653;6;1;4;82777;1;2022-03-16
144;26;0;0;90901;2;2022-12-09
186;22;1;0;24033;10;2018-08-13
606;6;0;2;99804;9;2021-07-02
845;32;1;5;53505;4;2021-05-22
490;1;1;5;9086;2;2022-03-16
358;29;0;0;51250;3;2021-11-03
705;7;0;2;8531;5;2019-04-26
637;27;0;1;96702;7;2020-10-16
478;30;0;4;59382;5;2021-10-01
288;50;1;3;98542;9;2018-07-24
362;35;0;4;79923;8;2021-04-06
278;46;0;3;10770;9;2021-05-01
598;41;1;1;65122;9;2019-04-18
706;48;1;3;33421;9;2018-03-17
158;32;1;3;48985;10;2018-03-14
810;23;0;1;25113;2;2019-08-15
416;44;0;5;19558;1;2019-12-19
804;14;0;2;83510;1;2019-11-26
140;31;1;3;46098;5;2020-09-08
164;31;1;2;60928;8;2021-09-09
157;6;1;4;1692;10;2019-06-13
876;48;0;4;17329;6;2020-09-27
874;3;1;1;29313;6;2018-04-21
699;12;1;4;14414;7;2019-07-02
93;2;0;4;16689;8;2020-07-10
433;49;0;3;96607;6;2020-03-15
102;14;0;3;97750;2;2020-04-02
193;20;0;3;57371;9;2022-03-23
729;41;0;3;78157;8;2019-09-09
845;14;0;4;50349;2;2019-02-18
606;5;0;0;59349;10;2020-03-04
775;9;0;2;68167;2;2018-04-25
927;44;0;0;99651;9;2022-08-21
87;5;0;2;92738;2;2019-05-20
968;31;0;3;46786;3;2018-10-31
328;2;1;2;16045;8;2020-09-12
284;32;0;0;10660;2;2021-01-08
770;47;0;1;85387;8;2019-03-27
352;13;1;1;85242;2;2019-04-11
310;0;0;0;91836;6;2022-01-25
292;19;0;3;52102;9;2020-07-27
82;17;0;3;75957;5;2021-10-15
881;14;1;1;68148;1;2021-10-24
496;26;0;3;44099;1;2018-10-31
243;40;0;5;9787;4;2018-11-05
429;1;1;3;52764;5;2022-03-30
753;12;0;3;1063;9;2018-04-10
792;11;1;1;78948;9;2020-05-07
879;38;1;2;92155;6;2020-09-21
857;10;1;3;91287;8;2018-05-01
519;29;1;0;66528;1;2020-05-17
684;5;0;2;79041;4;2019-09-26
1000;1;1;5;82050;1;2018-02-02
365;15;0;5;91317;8;2021-08-07
344;11;1;2;5868;7;2019-08-09
246;48;0;2;87801;7;2022-01-15
81;4;0;2;45001;10;2019-09-21
487;7;0;0;56925;1;2022-08-04
934;25;1;1;80744;7;2018-06-10
93;21;1;2;18397;5;2020-09-14
490;48;1;5;36556;7;2021-12-10
594;46;1;0;4494;8;2019-02-17
408;6;1;2;39568;2;2020-01-12
517;30;0;2;97729;6;2020-06-25
641;31;1;2;79696;10;2018-11-25
283;31;0;1;18628;7;2022-11-26
350;13;1;3;40138;4;2021-09-23
797;9;1;0;86542;9;2022-04-23
196;37;1;0;15005;5;2022-04-26
70;34;0;4;66402;9;2021-11-06
710;46;0;3;22471;1;2020-06-17
106;1;1;3;30731;1;2021-12-25
918;13;0;4;72982;9;2023-01-24
596;0;0;0;82462;8;2019-10-30
325;50;1;2;97819;2;2020-06-15
825;33;1;0;92912;2;2021-05-24
116;1;1;0;43739;9;2020-12-15
537;24;1;5;41651;3;2020-09-24
306;31;1;0;23762;1;2018-10-18
234;41;0;0;45513;3;2019-06-09
836;28;0;4;38063;9;2018-06-05
440;29;1;0;6439;5;2020-06-29
832;7;1;4;29330;4;2020-10-08
440;28;0;3;65919;3;2018-06-09
286;7;0;0;45777;5;2020-05-04
118;46;0;3;48012;7;2018-08-21
340;12;1;1;90895;10;2021-10-10
536;41;0;2;67342;2;2018-12-23
397;27;0;4;93774;7;2019-01-19
604;31;0;3;15092;9;2021-12-08
673;27;0;4;45517;5;2020-07-04
446;40;1;1;72760;8;2022-07-21
420;24;0;2;14999;9;2018-06-19
544;21;0;1;23888;2;2022-06-30
784;32;1;0;9410;10;2021-05-11
773;34;0;5;95113;6;2018-03-23
635;33;1;3;1755;5;2021-04-03
396;7;0;5;59212;7;2018-11-11
445;30;1;3;50669;6;2022-07-07
132;3;0;2;61815;1;2019-02-03
652;28;0;3;12821;1;2021-08-31
938;4;1;2;10179;1;2018-04-23
951;19;1;2;77850;2;2021-04-07
277;5;0;3;15382;2;2021-12-10
480;1;1;4;88521;4;2022-05-19
92;27;0;4;20830;2;2018-08-22
857;37;1;0;3131;7;2019-09-24
500;20;0;4;9696;9;2019-07-15
898;30;0;0;9976;3;2020-11-25
418;47;0;3;24211;9;2022-04-20
757;36;1;0;18229;7;2019-10-12
463;50;0;1;73791;3;2018-07-12
793;13;0;5;20346;4;2019-10-07
899;3;1;4;43059;7;2019-10-09
237;48;0;2;54431;1;2019-11-13
511;28;0;3;83094;3;2020-11-27
980;7;0;4;65437;7;2018-03-15
989;46;0;5;37607;8;2022-04-20
648;19;0;5;69944;5;2020-10-21
300;21;1;3;61369;8;2019-05-21
774;6;0;0;97429;5;2022-08-06
670;3;1;3;87345;4;2019-04-11
813;14;1;3;27990;3;2020-11-11
788;6;1;2;36257;5;2018-03-09
131;29;1;1;95504;1;2018-12-03
580;5;0;3;83670;9;2021-08-10
382;24;1;4;76527;3;2021-05-30
482;28;1;3;29388;10;2019-06-04
672;16;0;2;18790;9;2021-10-08
591;47;1;4;64471;9;2022-02-18
986;22;1;0;59821;7;2019-06-21
355;44;0;3;42944;5;2021-04-06
565;50;0;2;29835;10;2021-03-16
299;45;0;5;17568;10;2020-07-22
481;27;0;5;12746;3;2018-07-10
409;47;0;5;75470;1;2020-09-09
862;31;0;0;37043;3;2021-07-22
200;19;0;1;8844;8;2018-05-04
569;36;0;1;45791;8;2018-06-27
400;38;0;4;35375;9;2022-05-02
855;23;0;1;80943;1;2021-09-26
957;3;0;3;30123;2;2021-12-21
678;16;1;0;80072;6;2019-03-16
413;38;0;2;43121;6;2019-03-16
663;24;1;4;21248;10;2022-08-13
213;7;0;1;9654;2;2018-03-28
279;7;1;0;58392;7;2021-05-03
217;17;1;5;58934;8;2019-06-13
351;12;1;2;58678;4;2018-09-10
462;11;1;2;99650;1;2022-10-08
850;39;1;5;278;10;2019-11-11
126;29;1;5;19174;4;2021-02-04
965;11;0;3;72763;5;2020-11-21
260;7;0;2;22236;7;2020-06-06
675;25;0;2;86567;3;2019-07-13
908;30;0;1;12266;6;2020-10-08
788;44;1;5;1468;9;2020-01-22
277;4;1;4;51046;1;2019-11-09
730;4;0;4;82443;1;2022-01-19
924;7;0;1;43988;2;2018-12-21
355;22;0;2;33183;5;2022-08-29
983;24;0;0;15510;7;2022-05-25
603;6;0;4;8432;2;2022-09-26
949;40;1;4;1993;7;2020-02-25
749;10;1;0;66025;6;2019-08-17
806;27;0;2;51895;4;2022-01-12
214;28;1;5;16448;1;2020-05-27
240;38;1;5;51343;9;2018-12-17
157;11;0;2;96523;4;2019-09-09
353;29;0;0;55083;9;2018-12-01
933;33;1;4;3909;6;2020-11-15
855;25;1;5;84279;7;2023-01-23
389;4;0;0;25037;2;2020-12-12
950;11;1;1;98524;5;2020-01-04
869;48;1;5;9011;4;2019-02-16
655;48;0;3;16151;2;2021-09-11
730;19;1;1;11117;4;2020-11-04
289;50;0;4;10652;9;2022-11-22
292;32;1;1;71454;4;2019-02-16
777;45;0;1;96533;3;2022-08-04
803;27;0;3;82290;10;2021-02-07
596;35;1;3;53094;9;2020-12-24
90;8;1;4;39608;3;2022-08-22
994;23;1;3;93454;3;2021-04-24
350;11;0;4;80644;10;2020-12-03
349;15;0;4;68327;3;2018-10-04
526;21;1;5;87368;7;2019-01-17
585;14;1;2;7949;6;2021-10-01
153;14;0;0;97038;10;2020-06-08
179;11;1;5;49600;9;2021-07-20
860;29;1;4;3571;1;2018-02-11
400;22;0;4;32718;6;2021-01-17
296;36;1;1;49791;10;2021-06-24
355;7;1;4;29647;4;2019-02-26
458;13;0;1;608;6;2020-11-23
476;38;1;1;97485;8;2020-09-23
753;50;1;5;16021;4;2021-10-01
433;13;0;2;95178;6;2021-12-22
683;4;0;3;51421;8;2019-11-26
673;40;0;4;50893;8;2020-05-23
862;14;1;4;49922;2;2020-12-29
177;18;1;0;86872;8;2022-09-22
419;27;0;0;92621;6;2021-04-29
934;16;0;4;84340;10;2020-10-01
742;4;0;4;78440;1;2018-09-18
111;14;0;3;3208;6;2020-03-01
241;24;1;1;85118;2;2022-06-01
970;40;0;0;17954;1;2020-06-04
102;33;0;1;84735;7;2022-06-27
898;37;1;4;40929;10;2021-09-04
653;23;1;5;34459;1;2018-06-06
808;49;0;3;92654;3;2021-08-17
586;0;1;4;12716;10;2018-10-13
727;0;1;5;99382;3;2018-03-17
130;2;1;0;62299;2;2019-10-25
358;14;1;1;21396;9;2021-02-26
138;24;0;2;88443;6;2021-08-30
737;46;0;4;4608;9;2022-12-20
609;15;0;1;46310;9;2021-03-18
988;37;1;4;88113;10;2019-07-27
609;39;0;0;25091;7;2018-08-15
749;35;0;3;98221;7;2022-11-02
160;13;1;3;60300;9;2021-09-06
678;6;1;2;72654;10;2018-05-18
271;43;0;5;41138;2;2018-10-05
440;14;1;3;23540;3;2021-04-25
87;40;0;5;61025;7;2020-07-01
993;21;0;2;80814;7;2021-03-22
885;17;1;1;68953;9;2022-01-03
704;26;0;1;80074;6;2019-12-10
845;25;0;3;92082;4;2021-12-01
313;41;1;5;51299;6;2020-07-03
368;38;0;2;87664;3;2022-12-10
618;48;1;1;98942;3;2022-06-16
413;48;1;5;42516;7;2019-11-09
436;37;0;1;52530;2;2023-01-30
402;13;0;0;85512;4;2019-08-24
728;46;1;2;1925;5;2020-06-16
77;8;1;0;84163;6;2019-09-11
623;20;0;3;35432;8;2018-03-03
64;32;1;4;59710;4;2018-04-30
98;32;0;4;4379;9;2019-03-03
651;1;0;0;49599;3;2022-10-01
417;21;0;5;29348;2;2019-06-06
696;32;1;5;49764;7;2021-03-22
632;49;1;4;96107;9;2019-09-22
521;32;0;5;10309;1;2021-01-23
633;24;1;0;44615;9;2022-03-23
228;20;1;3;36811;4;2021-09-06
630;31;0;2;56130;10;2020-12-05
668;24;0;3;10254;4;2019-04-28
681;9;0;2;58558;6;2020-12-01
74;39;1;1;34467;4;2018-11-23
133;20;0;2;36354;5;2021-12-19
447;34;1;4;24932;7;2020-10-21
960;43;1;1;41101;5;2019-05-02
883;31;1;1;92478;6;2018-09-05
464;36;1;1;12389;4;2019-02-11
564;15;1;3;65119;5;2022-06-01
606;35;0;4;94379;3;2018-09-19
945;10;0;5;46200;8;2021-02-09
638;4;1;3;9003;3;2019-12-11
363;27;0;3;39426;9;2019-09-02
168;9;1;2;35991;9;2022-11-21
675;21;1;3;80349;2;2018-06-04
401;24;1;5;95907;3;2020-11-29
86;10;1;5;1353;1;2022-11-09
888;16;0;2;59203;7;2018-02-17
729;36;0;2;93277;4;2022-09-27
659;32;0;5;12739;5;2022-06-11
975;4;0;1;18046;3;2018-02-05
368;14;1;3;76905;2;2022-04-03
863;26;0;1;28080;9;2021-07-10
261;8;0;2;62516;7;2021-08-16
670;0;1;2;88487;1;2019-10-09
999;9;1;0;12788;5;2020-02-07
795;18;1;1;69963;6;2019-01-12
767;41;0;2;68588;9;2021-06-06
505;40;1;0;15921;2;2021-12-07
941;50;1;5;12539;3;2020-12-25
469;29;1;5;56319;7;2019-12-29
192;45;1;3;14947;9;2022-12-03
733;43;1;4;52601;7;2021-12-21
934;0;1;3;81992;8;2021-10-14
330;26;0;0;17418;10;2020-05-25
535;14;1;0;80198;9;2019-05-24
136;36;1;4;56537;1;2022-10-03
75;28;0;3;88491;4;2021-08-18
160;9;0;1;41545;4;2019-02-05
803;13;0;3;76175;1;2020-10-01
703;15;0;2;36568;8;2022-01-08
537;38;0;3;53882;9;2022-07-07
292;46;1;0;30371;8;2019-11-08
760;14;1;5;48805;6;2022-02-06
259;17;1;4;15048;4;2020-02-04
139;19;0;5;55516;4;2019-10-01
342;21;1;3;15350;6;2019-01-05
180;28;1;2;73557;3;2021-12-12
902;33;0;4;52693;3;2022-12-22
938;11;0;1;69241;4;2022-11-01
81;49;1;0;66780;2;2021-04-11
837;45;1;2;50638;3;2019-03-18
652;17;1;2;12199;3;2022-03-17
916;6;1;5;45556;1;2020-06-30
143;12;0;1;50507;7;2019-12-06
539;26;0;3;79361;4;2020-02-17
86;3;1;4;91119;4;2020-10-11
515;32;1;3;78640;10;2022-01-21
675;8;0;3;10460;9;2018-08-22
365;37;0;0;55933;10;2021-02-14
890;15;0;1;75952;10;2020-06-09
428;39;1;3;36788;1;2021-09-17
779;30;0;2;69880;9;2019-12-19
